mesh,n_v,n_t,name,size_b,bpv,max_err,enc_ms,dec_us,mtps,gpu,note
fandisk.obj,6475,12946,ParaDelta v5 (ours),38382,47.421776061776065,0.00047220364544443605,594.4173000752926,208.34304809570312,62.13790245620871,True,fused CUDA kernel
fandisk.obj,6475,12946,GlobalAMD (ours),58234,71.94934362934363,0.0005,385.16549998894334,,,True,GPU kernel: see benchmark_cuda_decode.py
fandisk.obj,6475,12946,GlobalEB (ours),21311,26.33019305019305,0.0005,361.8169000837952,,,False,EB CLERS decode sequential
fandisk.obj,6475,12946,Draco q12 L7,12015,14.844787644787646,0.001053383268305824,7.053900044411421,2579.099964350462,5.019580543191705,False,CPU decode
fandisk.obj,6475,12946,meshopt q12 (CPU),55203,68.20447876447876,0.001053383268305824,0.57380017824471,98.1529988348484,131.89612292725622,False,vertex+index codec only (no glTF headers)
fandisk.obj,6475,12946,gltfpack -cc,39600,48.92664092664093,,93.90709991566837,,,False,meshopt EXT (incl. glb headers)
fandisk.obj,6475,12946,DGF tb12,58240,71.95675675675676,0.000432,47.0620000269264,,38.0,True,"GPU decode 38 M tris/s cited (HPG24, RX7900XTX)"
Monkey.obj,504482,1007616,ParaDelta v5 (ours),2081254,33.00421422369877,0.0004958324144285871,19788.226900156587,1086.1567687988281,927.6892884572402,True,fused CUDA kernel
Monkey.obj,504482,1007616,GlobalAMD (ours),4275983,67.80789800230731,0.0005,23605.868800077587,,,True,GPU kernel: see benchmark_cuda_decode.py
Monkey.obj,504482,1007616,GlobalEB (ours),1402659,22.243156346509885,0.0005,23540.07350001484,,,False,EB CLERS decode sequential
Monkey.obj,504482,1007616,Draco q12 L7,260924,4.137693713551722,0.0005565015934720916,608.5657000076026,237651.0000322014,4.239898001117055,False,CPU decode
Monkey.obj,504482,1007616,meshopt q12 (CPU),4132599,65.5341360048525,0.0005565709578397393,35.50040000118315,7660.477000754327,131.5343678860703,False,vertex+index codec only (no glTF headers)
Monkey.obj,504482,1007616,gltfpack -cc,2575128,40.83599414845327,,501.1907999869436,,,False,meshopt EXT (incl. glb headers)
Monkey.obj,504482,1007616,DGF tb12,3093248,49.05226350989728,0.000456,1143.9873999916017,,38.0,True,"GPU decode 38 M tris/s cited (HPG24, RX7900XTX)"
fandisk.obj,6475,12946,meshopt q12 (CPU),55203,68.20447876447876,0.001053383268305824,0.522000016644597,90.55699920281768,142.95968411017296,False,vertex+index codec only (no glTF headers)
bunny.obj,2503,4968,meshopt q12 (CPU),41993,134.2165401518178,3.115822462691265e-05,0.3396999090909958,54.684001952409744,90.84923967934056,False,vertex+index codec only (no glTF headers)
eyeball.obj,9667,18688,meshopt q12 (CPU),85285,70.57825592220958,0.0008172601988279336,0.5449999589473009,107.79900010675192,173.3596784895363,False,vertex+index codec only (no glTF headers)
horse.obj,48485,96966,meshopt q12 (CPU),812369,134.04046612354335,3.799922725669136e-05,5.927399965003133,1396.818000357598,69.41920849758223,False,vertex+index codec only (no glTF headers)
stanford-bunny.obj,35947,69451,meshopt q12 (CPU),565523,125.85706734915291,3.2661621699396504e-05,3.6181998439133167,893.6390001326799,77.71706470922655,False,vertex+index codec only (no glTF headers)
Monkey.obj,504482,1007616,meshopt q12 (CPU),4132599,65.5341360048525,0.0005565709578397393,34.95360002852976,7667.566000018269,131.41275862478383,False,vertex+index codec only (no glTF headers)
tank.obj,1806639,3514247,meshopt q12 (CPU),12785205,56.61432084661075,0.0020912819072215296,128.36109986528754,27653.40100042522,127.08190938054825,False,vertex+index codec only (no glTF headers)
fandisk.obj,6475,12946,meshopt q12 (CPU),38036,46.994285714285716,0.001053383268305824,0.48010004684329033,75.1459994353354,172.2779668549127,False,vertex+index codec + cache-opt reorder
bunny.obj,2503,4968,meshopt q12 (CPU),15960,51.01078705553336,3.115822462691265e-05,0.18919981084764004,29.180001001805067,170.25359250990707,False,vertex+index codec + cache-opt reorder
eyeball.obj,9667,18688,meshopt q12 (CPU),56793,46.999482776455984,0.0008172601988279336,0.5004999693483114,93.78500049933791,199.26427360985014,False,vertex+index codec + cache-opt reorder
horse.obj,48485,96966,meshopt q12 (CPU),273515,45.129833969268844,3.799922725669136e-05,3.5117000807076693,786.7439999245107,123.2497483416512,False,vertex+index codec + cache-opt reorder
stanford-bunny.obj,35947,69451,meshopt q12 (CPU),204426,45.49497871866915,0.0019495950276396722,2.4908999912440777,453.6799993366003,153.08367153402324,False,vertex+index codec + cache-opt reorder
Monkey.obj,504482,1007616,meshopt q12 (CPU),2308539,36.60846571334557,0.0005565709578397393,26.755299884825945,7321.06699841097,137.63239705615342,False,vertex+index codec + cache-opt reorder
tank.obj,1806639,3514247,meshopt q12 (CPU),6813148,30.169383036677498,0.0020912819072215296,97.87709987722337,23003.545999526978,152.76979471218323,False,vertex+index codec + cache-opt reorder
