mesh,obj_mb,n_v,n_t,name,size_b,bpv,max_err,enc_ms,dec_us,mtps,gpu,note
fandisk.obj,0.379559,6475,12946,Draco q12 L7,12015,14.844787644787646,0.0010533832683058,5.699600093066692,2037.3999141156676,6.354177159970681,False,CPU decode
fandisk.obj,0.379559,6475,12946,meshopt q12 (CPU),38036,46.99428571428572,0.0010533832683058,0.4416999872773886,65.90500008314848,196.4342611890872,False,vertex+index codec + cache-opt reorder
fandisk.obj,0.379559,6475,12946,DGF tb12,58240,71.95675675675676,0.000432,20.519199781119823,27.32953345999578,473.7,True,GPU decode (measured CUDA port on RTX 3090)
fandisk.obj,0.379559,6475,12946,Corto v12,13922,17.200926640926642,0.0021333164817402,24.08620016649365,482.137,26.8512891564016,False,CPU decode (positions+faces only)
stanford-bunny.obj,2.408417,35947,69451,Draco q12 L7,57855,12.875622444153894,0.0019495950276396,36.86579992063344,14297.300018370152,4.8576304554541485,False,CPU decode
stanford-bunny.obj,2.408417,35947,69451,meshopt q12 (CPU),204426,45.49497871866915,0.0019495950276396,2.364000072702765,417.4329992383719,166.37640082771833,False,vertex+index codec + cache-opt reorder
stanford-bunny.obj,2.408417,35947,69451,DGF tb12,288512,64.20830667371408,0.000413,70.8385999314487,54.84561320382216,1266.3,True,GPU decode (measured CUDA port on RTX 3090)
stanford-bunny.obj,2.408417,35947,69451,Corto v12,71766,15.971513617269869,0.0019231218603283,52.55539994686842,2186.017,31.770567200529552,False,CPU decode (positions+faces only)
horse.obj,4.818311,48485,96966,Draco q12 L7,77111,12.723275239764876,3.800140879015692e-05,50.428299931809306,20684.69999358058,4.687812732603955,False,CPU decode
horse.obj,4.818311,48485,96966,meshopt q12 (CPU),273515,45.12983396926885,3.799922725669136e-05,3.0845000874251127,703.8650009781122,137.76221273291483,False,vertex+index codec + cache-opt reorder
horse.obj,4.818311,48485,96966,DGF tb12,361600,59.66381355058265,0.000413,118.80209995433688,79.14299706170421,1225.2,True,GPU decode (measured CUDA port on RTX 3090)
horse.obj,4.818311,48485,96966,Corto v12,93262,15.388181911931524,7.61173870169611e-05,62.7301000058651,2942.193,32.9570493845917,False,CPU decode (positions+faces only)
Monkey.obj,80.945141,504482,1007616,Draco q12 L7,260924,4.137693713551722,0.000556501593472,565.6811001244932,224032.5000602752,4.497633154693646,False,CPU decode
Monkey.obj,80.945141,504482,1007616,meshopt q12 (CPU),2308539,36.60846571334557,0.0005565709578397,25.60649998486042,6475.558001548052,155.6029611284647,False,vertex+index codec + cache-opt reorder
Monkey.obj,80.945141,504482,1007616,DGF tb12,3093248,49.05226350989728,0.000456,1093.4117001015693,562.8825205295794,1790.1,True,GPU decode (measured CUDA port on RTX 3090)
Monkey.obj,80.945141,504482,1007616,Corto v12,532223,8.43991262324523,0.0011083560778122,448.0611998587847,31594.935,31.89169403260364,False,CPU decode (positions+faces only)
happy_buddha.obj,44.050519,543652,1087716,Draco q12 L7,947726,13.946068440840833,4.159545966592617e-05,751.0891000274569,240165.9998577088,4.529017432294493,False,CPU decode
happy_buddha.obj,44.050519,543652,1087716,meshopt q12 (CPU),2537373,37.33819428605064,4.159761674055178e-05,34.43580004386604,7865.045000799,138.2974922444182,False,vertex+index codec + cache-opt reorder
happy_buddha.obj,44.050519,543652,1087716,DGF tb12,3483776,51.26479439052923,0.000459,965.6155998818576,621.7651766319881,1749.4,True,GPU decode (measured CUDA port on RTX 3090)
happy_buddha.obj,44.050519,543652,1087716,Corto v12,1224864,18.02423609220604,8.34530758181338e-05,555.2228998858482,34705.47,31.341341869163564,False,CPU decode (positions+faces only)
crab.obj,106.860493,1079606,2141606,Draco q12 L7,1745847,12.936919579920822,2.4858351640675336,2519.972100155428,504113.79989236593,4.248259024960748,False,CPU decode
crab.obj,106.860493,1079606,2141606,meshopt q12 (CPU),4910086,36.38428093211783,2.4858351640675336,67.76760006323457,18069.856001529843,118.51815530896792,False,vertex+index codec + cache-opt reorder
crab.obj,106.860493,1079606,2141606,DGF tb12,6526336,48.36087239233572,0.00042,2532.037300057709,1223.2855429256867,1750.7,True,GPU decode (measured CUDA port on RTX 3090)
crab.obj,106.860493,1079606,2141606,Corto v12,2034128,15.073113710001612,2.4603047645661853,1325.672399951145,72475.78,29.54926459570356,False,CPU decode (positions+faces only)
tank.obj,272.350812,1806639,3514247,Draco q12 L7,1665558,7.375277518087454,0.0020912819072215,3322.5324999075383,1000660.3999063371,3.5119277232604955,False,CPU decode
tank.obj,272.350812,1806639,3514247,meshopt q12 (CPU),6813148,30.169383036677495,0.0020912819072215,104.57350010983646,26648.389000911266,131.87465102974244,False,vertex+index codec + cache-opt reorder
xyzrgb_dragon.obj,320.797199,3609600,7219045,Draco q12 L7,2300717,5.099106826241135,0.0424523022121976,7937.362200114876,2536749.599967152,2.8457854098384323,False,CPU decode
xyzrgb_dragon.obj,320.797199,3609600,7219045,meshopt q12 (CPU),14480290,32.092841312056734,0.0424479342501855,275.2936000470072,79369.16899867356,90.9552801305082,False,vertex+index codec + cache-opt reorder
tank.obj,272.350812,1806639,3514247,DGF tb12,11075456,49.04336062710924,0.0,0.0,1756.0698580851488,2001.2,True,GPU decode (measured CUDA port on RTX 3090)
xyzrgb_dragon.obj,320.797199,3609600,7219045,DGF tb12,20929408,46.386099290780145,0.0,0.0,3328.1291780000925,2169.1,True,GPU decode (measured CUDA port on RTX 3090)
tank.obj,272.350812,1806639,3514247,Corto v12,2769616,12.264170097069751,0.0,0.0,117935.56,29.798026990332687,False,world-bench (q12 Corto not measured)
xyzrgb_dragon.obj,320.797199,3609600,7219045,Corto v12,4137684,9.170398936170212,0.0,0.0,235104.84,30.705641789424668,False,world-bench (q12 Corto not measured)
fandisk.obj,0.379559,6475,12946,STRIDE-dup (ours),36972,45.68,0.0,0.0,193.80239520958085,66.8,True,"fused CUDA kernel, per-meshlet self-contained, axis-parallel"
stanford-bunny.obj,2.408417,35947,69451,STRIDE-dup (ours),191103,42.53,0.0,0.0,216.76342072409489,320.4,True,"fused CUDA kernel, per-meshlet self-contained, axis-parallel"
horse.obj,4.818311,48485,96966,STRIDE-dup (ours),252182,41.61,0.0,0.0,212.73804300131636,455.8,True,"fused CUDA kernel, per-meshlet self-contained, axis-parallel"
Monkey.obj,80.945141,504482,1007616,STRIDE-dup (ours),2103059,33.35,0.0,0.0,713.5080016994759,1412.2,True,"fused CUDA kernel, per-meshlet self-contained, axis-parallel"
happy_buddha.obj,44.050519,543652,1087716,STRIDE-dup (ours),2939118,43.25,0.0,0.0,718.7234042553191,1513.4,True,"fused CUDA kernel, per-meshlet self-contained, axis-parallel"
crab.obj,106.860493,1079606,2141606,STRIDE-dup (ours),5689523,42.16,0.0,0.0,1306.574339576597,1639.1,True,"fused CUDA kernel, per-meshlet self-contained, axis-parallel"
tank.obj,272.350812,1806639,3514247,STRIDE-dup (ours),7694023,34.07,0.0,0.0,2057.401206018383,1708.1,True,"fused CUDA kernel, per-meshlet self-contained, axis-parallel"
xyzrgb_dragon.obj,320.797199,3609600,7219045,STRIDE-dup (ours),15169343,33.62,0.0,0.0,3989.304266136163,1809.6,True,"fused CUDA kernel, per-meshlet self-contained, axis-parallel"
